"id","location_name","sole_name","parent_id","location_level"
"612701","榆林市","陕西省榆林地区榆林市","612700","2"
"612722","神木县","陕西省榆林地区神木县","612700","2"
"612723","府谷县","陕西省榆林地区府谷县","612700","2"
"612724","横山县","陕西省榆林地区横山县","612700","2"
"612725","靖边县","陕西省榆林地区靖边县","612700","2"
"612726","定边县","陕西省榆林地区定边县","612700","2"
"612727","绥德县","陕西省榆林地区绥德县","612700","2"
"612728","米脂县","陕西省榆林地区米脂县","612700","2"
"612729","佳县","陕西省榆林地区佳县","612700","2"
"612730","吴堡县","陕西省榆林地区吴堡县","612700","2"
"612731","清涧县","陕西省榆林地区清涧县","612700","2"
"612732","子洲县","陕西省榆林地区子洲县","612700","2"
"620000","甘肃省","甘肃省",,"0"
"620100","兰州市","甘肃省兰州市","620000","1"
"620101","市辖区","甘肃省兰州市市辖区","620100","2"
"620102","城关区","甘肃省兰州市城关区","620100","2"
"620103","七里河区","甘肃省兰州市七里河区","620100","2"
"620104","西固区","甘肃省兰州市西固区","620100","2"
"620105","安宁区","甘肃省兰州市安宁区","620100","2"
"620111","红古区","甘肃省兰州市红古区","620100","2"
"620121","永登县","甘肃省兰州市永登县","620100","2"
"620122","皋兰县","甘肃省兰州市皋兰县","620100","2"
"620123","榆中县","甘肃省兰州市榆中县","620100","2"
"620200","嘉峪关市","甘肃省嘉峪关市","620000","1"
"620201","市辖区","甘肃省嘉峪关市市辖区","620200","2"
"620300","金昌市","甘肃省金昌市","620000","1"
"620301","市辖区","甘肃省金昌市市辖区","620300","2"
"620302","金川区","甘肃省金昌市金川区","620300","2"
"620321","永昌县","甘肃省金昌市永昌县","620300","2"
"620400","白银市","甘肃省白银市","620000","1"
"620401","市辖区","甘肃省白银市市辖区","620400","2"
"620402","白银区","甘肃省白银市白银区","620400","2"
"620403","平川区","甘肃省白银市平川区","620400","2"
"620421","靖远县","甘肃省白银市靖远县","620400","2"
"620422","会宁县","甘肃省白银市会宁县","620400","2"
"620423","景泰县","甘肃省白银市景泰县","620400","2"
"620500","天水市","甘肃省天水市","620000","1"
"620501","市辖区","甘肃省天水市市辖区","620500","2"
"620502","秦城区","甘肃省天水市秦城区","620500","2"
"620503","北道区","甘肃省天水市北道区","620500","2"
"620521","清水县","甘肃省天水市清水县","620500","2"
"620522","秦安县","甘肃省天水市秦安县","620500","2"
"620523","甘谷县","甘肃省天水市甘谷县","620500","2"
"620524","武山县","甘肃省天水市武山县","620500","2"
"620525","张家川回族自治县","甘肃省天水市张家川回族自治县","620500","2"
"622100","酒泉地区","甘肃省酒泉地区","620000","1"
"622101","玉门市","甘肃省酒泉地区玉门市","622100","2"
"622102","酒泉市","甘肃省酒泉地区酒泉市","622100","2"
"622103","敦煌市","甘肃省酒泉地区敦煌市","622100","2"
"622123","金塔县","甘肃省酒泉地区金塔县","622100","2"
